,Params,Score
151,"{'batch_size': 5000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 10000}",-3768389223.076345
152,"{'batch_size': 5000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 10}",-47586397534.71077
153,"{'batch_size': 5000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 100}",-34730735116.574455
154,"{'batch_size': 5000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 1000}",-39616479544.296486
155,"{'batch_size': 5000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 10000}",-11982641663.860249
156,"{'batch_size': 5000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 10}",-54177531562.02381
157,"{'batch_size': 5000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 100}",-7656055221.244815
158,"{'batch_size': 5000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4231776238.8669763
159,"{'batch_size': 5000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3268672306.4516335
160,"{'batch_size': 5000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 10}",-12313976042.619587
161,"{'batch_size': 5000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 100}",-5007271508.091501
162,"{'batch_size': 5000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 1000}",-3934748991.8964705
163,"{'batch_size': 5000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 10000}",-3231052356.9116464
164,"{'batch_size': 5000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 10}",-56161387843.09696
165,"{'batch_size': 5000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 100}",-38580070366.57839
166,"{'batch_size': 5000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 1000}",-48509112879.04175
167,"{'batch_size': 5000, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 10000}",-12021805772.488432
168,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 10}",-49288682287.827
169,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 100}",-6753911127.1039505
170,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4166935765.565149
171,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3049935975.371085
172,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 10}",-9963663451.350203
173,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 100}",-4850812502.635717
174,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 1000}",-3813955004.0140595
175,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 10000}",-3021200810.5939927
176,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 10}",-54001137400.19948
177,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 100}",-47084933922.57356
178,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 1000}",-27571170819.279
179,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 10000}",-14041176017.763123
180,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 10}",-16569863336.504816
181,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 100}",-5171710518.148593
182,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 1000}",-3768379345.196827
183,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 0.1, 'nb_epoch': 10000}",-2953273617.14876
184,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 10}",-30908469306.277008
185,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 100}",-39359977951.92908
186,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 1000}",-5464885100.6038
187,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 1, 'nb_epoch': 10000}",-5105385994.747776
188,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 10}",-56237788474.11056
189,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 100}",-47681231583.48656
190,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 1000}",-47143888995.61277
191,"{'batch_size': 5000, 'hidden_layers_sizes': [64, 32, 16], 'learning_rate': 10, 'nb_epoch': 10000}",-16096751593.596878
192,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 10}",-54617614816.496735
193,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 100}",-10264743377.31225
194,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4851428130.67278
195,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 0.1, 'nb_epoch': 10000}",-4088643438.663556
196,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 10}",-11334558954.533052
197,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 100}",-5283565702.705623
198,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 1000}",-4162086049.7312784
199,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 1, 'nb_epoch': 10000}",-4119939472.458902
200,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 10}",-6519496532.18104
201,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 100}",-4384528051.572269
202,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 1000}",-4096757035.808818
203,"{'batch_size': 1000, 'hidden_layers_sizes': [8], 'learning_rate': 10, 'nb_epoch': 10000}",-4024310062.4251046
204,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 10}",-53358472044.44242
205,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 100}",-9313630600.718357
206,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4695631973.215256
207,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 0.1, 'nb_epoch': 10000}",-4014711079.9064093
208,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 10}",-9723342811.104641
209,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 100}",-5120120269.994059
210,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 1000}",-4049647727.1074247
211,"{'batch_size': 1000, 'hidden_layers_sizes': [16], 'learning_rate': 1, 'nb_epoch': 10000}",-3984457270.973239
